run_id,seed,epsilon,alpha,deletion_fraction,validity_status,deletion_manifest,dp_only_acc,retained_ft_acc,target_retrain_acc,target_retrain_median_acc,dp_only_mia_adv,retained_ft_mia_adv,target_retrain_mia_adv,ft_mub_acc,ft_mub_mia,classification,cached_recon_acc,cached_recon_mia_adv,cached_recon_mub_acc,cached_recon_mub_mia,federated_eraser_acc,federated_eraser_mia_adv,federated_eraser_mub_acc,federated_eraser_mub_mia,federated_eraser_storage_bytes,federated_eraser_runtime_s
cell_eps2_a1_del100pct_s20260901_881b2da4,20260901,2.0006767867568085,1.0,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.1145000010728836,0.09749999642372131,0.11349999904632568,0.09300000220537186,0.05499999999999999,0.055,0.03500000000000003,-0.017,0.0,INCONCLUSIVE,0.11400000005960464,0.08500000000000002,-0.0005,-0.03,0.12049999833106995,0.06,0.006,-0.005,100761856,6.439
cell_eps2_a1_del100pct_s20260902_b54bf27f,20260902,2.0006767867568085,1.0,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.10400000214576721,0.10999999940395355,0.09149999916553497,0.09149999916553497,0.05999999999999997,0.02,0.08000000000000007,0.006,-0.04,UNLEARNING-HARMFUL,0.10450000315904617,0.06499999999999997,0.0005,0.005,0.10450000315904617,0.07999999999999999,0.0005,0.02,103910664,6.645
cell_eps2_a1_del100pct_s20260903_8bf2e2e8,20260903,2.0006767867568085,1.0,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.08900000154972076,0.11649999767541885,0.0860000029206276,0.0860000029206276,0.07499999999999996,0.035,0.040000000000000036,0.0275,0.04,UNLEARNING-BENEFICIAL,0.08699999749660492,0.07999999999999996,-0.002,-0.005,0.0860000029206276,0.07000000000000006,-0.003,0.005,102215152,6.089
cell_eps2_a1_del25pct_s20260901_28618891,20260901,2.0006767867568085,1.0,0.25,INVALID,partitions\generated\deletion_77ffd853a1877089.csv,0.1145000010728836,0.10000000149011612,0.11400000005960464,0.09449999779462814,0.12,0.12,0.21999999999999997,-0.0145,0.0,INCONCLUSIVE,,,,,,,,,,
cell_eps2_a1_del25pct_s20260902_bad4bacf,20260902,2.0006767867568085,1.0,0.25,INVALID,partitions\generated\deletion_7f8a74713cc7b768.csv,0.10400000214576721,0.1080000028014183,0.0885000005364418,0.0885000005364418,0.09999999999999998,0.040000000000000036,0.22000000000000003,0.004,-0.06,UNLEARNING-HARMFUL,,,,,,,,,,
cell_eps2_a1_del25pct_s20260903_98631e5a,20260903,2.0006767867568085,1.0,0.25,INVALID,partitions\generated\deletion_d6c2df1df156ecd9.csv,0.08900000154972076,0.11800000071525574,0.08500000089406967,0.08550000190734863,0.12,0.040000000000000036,0.08000000000000002,0.029,0.0,UNLEARNING-BENEFICIAL,,,,,,,,,,
cell_eps4_a0.1_del100pct_s20260901_9c9c089a,20260901,3.9997858432729707,0.1,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.09650000184774399,0.10899999737739563,0.10700000077486038,0.10700000077486038,0.07500000000000007,0.04166666666666674,0.09999999999999998,0.0125,-0.01667,REDUNDANT,0.09099999815225601,0.09166666666666667,-0.0055,-0.01667,0.09549999982118607,0.10833333333333339,-0.001,-0.03333,76055824,6.208
cell_eps4_a0.1_del100pct_s20260901_adb004ac,20260901,4.0000041561923405,0.1,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.12150000035762787,0.12449999898672104,0.09749999642372131,0.09749999642372131,0.08333333333333334,0.09999999999999998,0.07500000000000007,0.003,-0.01667,INCONCLUSIVE,0.12549999356269836,0.07499999999999998,0.004,-0.00833,0.13750000298023224,0.10833333333333334,0.016,-0.025,100761856,7.731
cell_eps4_a0.1_del100pct_s20260902_439b79ef,20260902,4.0000041561923405,0.1,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.09549999982118607,0.10199999809265137,0.11599999666213989,0.10199999809265137,0.06666666666666665,0.054545454545454564,0.042424242424242475,0.0065,0.01212,REDUNDANT,0.09049999713897705,0.07272727272727264,-0.005,-0.00606,0.10750000178813934,0.09696969696969698,0.012,-0.0303,103910664,7.834
cell_eps4_a0.1_del100pct_s20260903_dab80ebb,20260903,4.0000041561923405,0.1,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.1080000028014183,0.10999999940395355,0.08550000190734863,0.09600000083446503,0.055118110236220486,0.047244094488188976,0.08661417322834647,0.002,0.00787,INCONCLUSIVE,0.10249999910593033,0.08661417322834641,-0.0055,-0.0315,0.10750000178813934,0.11811023622047245,-0.0005,-0.06299,102215152,8.737
cell_eps4_a0.1_del25pct_s20260901_39f76c2e,20260901,4.0000041561923405,0.1,0.25,INVALID,partitions\generated\deletion_77ffd853a1877089.csv,0.12150000035762787,0.11599999666213989,0.09350000321865082,0.09449999779462814,0.020000000000000018,0.10000000000000003,0.1,-0.0055,0.08,UNLEARNING-BENEFICIAL,,,,,,,,,,
cell_eps4_a0.1_del25pct_s20260902_60da9029,20260902,4.0000041561923405,0.1,0.25,INVALID,partitions\generated\deletion_7f8a74713cc7b768.csv,0.09549999982118607,0.12250000238418579,0.11349999904632568,0.10350000113248825,0.12,0.12,0.15999999999999998,0.027,0.0,UNLEARNING-BENEFICIAL,,,,,,,,,,
cell_eps4_a0.1_del25pct_s20260903_277e553d,20260903,4.0000041561923405,0.1,0.25,INVALID,partitions\generated\deletion_d6c2df1df156ecd9.csv,0.1080000028014183,0.10949999839067459,0.0885000005364418,0.10249999910593033,0.14,0.12,0.12,0.0015,0.02,UNLEARNING-BENEFICIAL,,,,,,,,,,
cell_eps4_a0.3_del100pct_s20260901_a3e02501,20260901,4.0000041561923405,0.3,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.11699999868869781,0.12600000202655792,0.10050000250339508,0.10050000250339508,0.0625,0.1111111111111111,0.1111111111111111,0.009,-0.04861,UNLEARNING-HARMFUL,0.11999999731779099,0.06944444444444442,0.003,-0.00694,0.1274999976158142,0.10416666666666666,0.0105,-0.04167,100761856,6.215
cell_eps4_a0.3_del100pct_s20260902_26c7a890,20260902,4.0000041561923405,0.3,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.0949999988079071,0.10450000315904617,0.10450000315904617,0.10400000214576721,0.037634408602150615,0.01612903225806453,0.06989247311827956,0.0095,-0.02151,UNLEARNING-HARMFUL,0.08749999850988388,0.032258064516129004,-0.0075,-0.00538,0.08250000327825546,0.037634408602150615,-0.0125,0.0,103910664,6.749
cell_eps4_a0.3_del100pct_s20260903_50e5345b,20260903,4.0000041561923405,0.3,1.0,INVALID,partitions\generated\deletion_7da128d9f9d59d50.csv,0.10949999839067459,0.1145000010728836,0.10300000011920929,0.10300000011920929,0.04929577464788737,0.028169014084507116,0.035211267605633756,0.005,0.00704,INCONCLUSIVE,0.1120000034570694,0.05633802816901412,0.0025,-0.00704,0.11050000041723251,0.08450704225352113,0.001,-0.03521,102215152,6.152
cell_eps4_a0.3_del25pct_s20260901_51dee10f,20260901,4.0000041561923405,0.3,0.25,INVALID,partitions\generated\deletion_77ffd853a1877089.csv,0.11699999868869781,0.1080000028014183,0.09549999982118607,0.0989999994635582,0.14,0.040000000000000036,0.17999999999999994,-0.009,-0.1,UNLEARNING-HARMFUL,,,,,,,,,,
cell_eps4_a0.3_del25pct_s20260902_0fce8c51,20260902,4.0000041561923405,0.3,0.25,INVALID,partitions\generated\deletion_7f8a74713cc7b768.csv,0.0949999988079071,0.10899999737739563,0.09849999845027924,0.09849999845027924,0.09999999999999998,0.020000000000000018,0.12,0.014,-0.08,UNLEARNING-HARMFUL,,,,,,,,,,
cell_eps4_a0.3_del25pct_s20260903_4fd46bc5,20260903,4.0000041561923405,0.3,0.25,INVALID,partitions\generated\deletion_d6c2df1df156ecd9.csv,0.10949999839067459,0.10849999636411667,0.1054999977350235,0.10400000214576721,0.08000000000000002,0.08000000000000002,0.14000000000000007,-0.001,0.0,INCONCLUSIVE,,,,,,,,,,
